Nombre,URL
inventario.xlsx,https://warehousing-my.sharepoint.com/:x:/g/personal/dflores_warehousing_cl/Ee1usbdQDZhDme2vsa2hYXwBZdFLHdeg65l-wmCii__fHw?e=J4rrv2
inv,https://warehousing-my.sharepoint.com/:x:/g/personal/dflores_warehousing_cl/IQB0dy5MEUymRb9usnwt-1pwAS5Gs1oDyPJIGjj1FAHWyYE?e=L07wuz
WH09032026_1410_2,https://warehousing-my.sharepoint.com/:x:/g/personal/dflores_warehousing_cl/IQD5FN58kf-6TJz_WkF_aECQAbLBs4Nd0UDM9CezPGht1No?e=LyGRil
